Currency,Date,Close,24h High (USD),24h Low (USD)
BTC,2019-03-27T20:59:59.000Z,4008.6635785164,4006.4562227279,4011.9146553968,3998.1491413745
BTC,2019-03-27T22:00:00.000Z,4012.2549090255,4008.6653196016,4012.6199863543,4004.6719651045
BTC,2019-03-27T23:00:00.000Z,4018.5905096995,4012.2454023942,4018.5996132144,4005.4253916837
BTC,2019-03-28T00:00:00.000Z,4031.412990699,4018.5905096995,4033.3865237994,4012.5211936119
BTC,2019-03-28T00:59:59.000Z,4016.6377481778,4031.4129630759,4031.4151922511,4004.1007222553
BTC,2019-03-28T01:59:59.000Z,4012.9439599107,4016.6377485892,4028.4494888484,4006.8776738966
BTC,2019-03-28T03:00:00.000Z,4015.7304024728,4012.9439687799,4018.3067088968,4011.0471457362
BTC,2019-03-28T04:00:00.000Z,3999.9231834794,4015.7304024728,4019.6300226322,3998.5915225187
BTC,2019-03-28T05:00:00.000Z,3999.10154781,3999.9231841779,4000.5281186205,3990.0086156216
BTC,2019-03-28T05:59:59.000Z,4015.9745586184,3999.1015493456,4016.29623998,3996.0275889709
BTC,2019-03-28T06:59:58.000Z,4010.3242124134,4015.974183712,4016.1882720103,4007.8811987428
BTC,2019-03-28T07:59:59.000Z,4015.8485132596,4010.324319244,4016.8479062677,4004.898427002
BTC,2019-03-28T08:59:59.000Z,4006.3834410013,4015.8485153733,4015.8502997467,4000.2319725308
BTC,2019-03-28T10:00:00.000Z,4007.7760579465,4006.383646125,4011.5304155771,4001.3170672099
BTC,2019-03-28T10:59:59.000Z,4003.748896495,4007.7760579465,4009.6719929327,4001.965700594
BTC,2019-03-28T11:59:59.000Z,4001.402402281,4003.7488913659,4003.7512250458,3992.3604155497
BTC,2019-03-28T13:00:00.000Z,4000.1813796635,4001.4023291914,4003.8351908753,3997.8165462481
BTC,2019-03-28T13:59:59.000Z,4013.9051401175,4000.1813797205,4021.6163450775,3999.2762735322
BTC,2019-03-28T14:59:59.000Z,4021.1914580893,4013.905112623,4023.6428071988,4005.6559573904
BTC,2019-03-28T15:59:59.000Z,4018.5417470849,4021.1914576965,4024.980799438,4010.8260937879
BTC,2019-03-28T17:00:00.000Z,4004.1685694773,4018.5417470849,4018.9986231889,4002.8618726162
BTC,2019-03-28T17:59:59.000Z,4010.9274094883,4004.1685649444,4015.0958669631,4002.7016481399
BTC,2019-03-28T19:00:00.000Z,4009.4920963959,4010.9274425106,4014.6665064333,4007.4543084264
BTC,2019-03-28T20:00:00.000Z,4009.3399802948,4009.4892036636,4013.3856282176,4007.3013453022
